"zpUaS","efdml","vNqhQ","llwez","CVFLD","DwRsZ","gUGeA","jdTsK","CvVUB","vBztq","NvwZr","bGZSr","capGG","irUbB","AlueB","SSAtf","fnPwi","pHZXE","qzjdp","NDapo","GkCZP","wMcue","NkQeJ","uAkMU","Gpgqk","tGwHt","LEoAr","tFErF","lRGmA","iaDHy","ScDgC","IfPOJ","lvKEs","PwEPl","UUZzB","vHeBx","AoZbU"
"B","A","D","A","A","C",NA,"A","D","C",NA,"C","B","A","B","B","A","A","B","E","B","C","A","D","C","A","A",NA,"C","C","A",NA,"E","A","A","A","B"
"B","C","E","C","C","C","C","E","F","A","D","C",NA,"B","B","B","C","A","A","C",NA,"A","A",NA,"B","A","B","F","C","C","A",NA,NA,"A","B","B","B"
NA,"F","E","A","C","B","C","A",NA,"A","D","B",NA,"B",NA,"C","A",NA,"A",NA,NA,"D","B",NA,"D","B","B","A","D",NA,"B","A","E","E","B","B","B"
"B","A","D","A","B","B","C","E","B","A","F","C","C","B",NA,NA,"B","A","A",NA,"C","A","A","D","A","B","A",NA,"B",NA,"B","C","E","B","C","C","B"
NA,"A","D","A","A","B","C","B","B","A","B","C","A","B",NA,"B","C",NA,"A",NA,"D","B","A","D",NA,"A","A",NA,"D",NA,"B","C","E","D","B","C","B"
"B","D","D","B","B","C","A","C","D","A",NA,"A","A","B",NA,"B","C","A",NA,"C","B","C","A",NA,"A",NA,"B",NA,"A","F","B","B","C","A","C","D","B"
"B","A","B","C","B","C","B","B","F","B","B","C","D","A","B","B","B","B","A","D","B","E","A","D","A","A","A","F","D",NA,"A",NA,"D","A","C","A","A"
"B","A","B","C","B","B","C","D","B","A",NA,"C",NA,"B",NA,"B","C","B","A","C",NA,"F","B",NA,NA,"B","B",NA,"A",NA,"A",NA,"A","E","B","E","B"
NA,"C","D","B","C","C","C","D","C","C","E","C",NA,"B",NA,"B","A","B","A","B","B","E","A","D","C",NA,"B",NA,"B",NA,"A",NA,"E","B","C","A","B"
"B","F","D","A","C","C","C","A","F","C","A","B","E","A","B","B","B",NA,"A","E",NA,"E","A","D","C",NA,"A","F","D",NA,"B","B","A","B","A","A","A"
"A","F","E","B","B","C",NA,"D","A","A",NA,"C",NA,"B","A","C","C","B","A",NA,NA,"E","A",NA,"D","A","B","E","B","D","A","B",NA,"F","B","C","A"
NA,"A","D","B","B","B","C","E",NA,"C","E","C",NA,"B","A",NA,"B",NA,"A",NA,NA,"D","A","D","C","B","B","C","D","D","B","C","E","D","B","C","B"
"A","F","E","A","C","B","E","C","B","A",NA,"A","F","A","B","B","A","B",NA,"C","B","C","A","C",NA,"A","B","F","B","B","A",NA,NA,"B","B","F","B"
"B","F","D","B","C","C","B","C","A","A","A","B","C","B",NA,"A","A","A","A","D","B","A","A","A","C",NA,"A",NA,"C","B","B","C","E","E","C","D","B"
NA,"C","E","A","B","B",NA,"D","B","A",NA,"A",NA,"B",NA,NA,"C","A","A",NA,"B","D","A",NA,"D","A","B","B","A","E","B","A","E","F","C","D","A"
NA,"F","D","A","C","C","D","D","A","A","D","C",NA,"B",NA,NA,"A","B",NA,NA,NA,"D","A","D","A",NA,"B",NA,"A","F","A",NA,NA,"E","B","E","B"
NA,"F","D","B","B","A","C","D",NA,"A","D","C","C","A","A","C","C",NA,"A","C","B","D","A","D","C","B","A",NA,"D",NA,"A","C","D","A","B","A","B"
"A","F","D","A","C","A","D","E",NA,"B","D","C",NA,"B",NA,"C","A","B","B",NA,NA,"A","A",NA,"D","A","B","E","D","E","B","C","B","D","B","C","A"
NA,"F","B","A","B","B","C","E","D","B",NA,"A",NA,"B",NA,"C","A","A",NA,NA,"B","A","A",NA,NA,"B","B","A","D","D","B","B","D","B","B","C","B"
NA,"A","D","A","C","B","C","B","B","A","B","C","E","B","B",NA,"B","A","A","B","D","D","A","D",NA,"A","A",NA,"C",NA,"A",NA,NA,"E","B","A","A"
"B","A","D","A","B","A",NA,"D","B","C","D","A","C","A","A","B","B","B","A","C","D","B","A","D",NA,"A","A",NA,"A",NA,"B",NA,"E","D","B","D","A"
NA,"F","D","A","C","A","C","E",NA,"A","D","C","F","B","A",NA,"B",NA,"A","B","B","D","A","D",NA,NA,"A","D","D",NA,"B","A","B","C","C","F","B"
"A","F","D","B","C","B",NA,"C","A","B","A","B","A","B","B",NA,"A","B","A",NA,"B","A","A","D","C","A","A",NA,"B",NA,"B","B","E","F","B","F","B"
"B","E","D","B","B","B","D","B","A","A","D","C","A","B","A","C","A","A",NA,"D","D","A","A","D",NA,"B","A","A","A","E","A",NA,NA,"C","B","A","B"
"B","F","D","B","B","C","C","A","A","A","E","B","E","B","B","C","C","B","A",NA,"D","B","A","D","A","A","A",NA,"B","B","B","B","A","B","B","C","B"
"B","A","E","A","B","A","D","A","D","A","A","B",NA,"B",NA,NA,"A",NA,"A",NA,NA,"D","A",NA,"C","A","B","F","C",NA,"A",NA,"E","B","B","D","B"
"B","A","B","B","C","C","A","E","B","A","E","C","A","B",NA,"C","C","B","A",NA,NA,"B","A","D","A",NA,"B","F","A","E","A","D",NA,"B","A","A","B"
NA,"A","D","C","C","A","E","A",NA,"A","C","B",NA,"B",NA,NA,"C",NA,"B","E","B","D","A","C","A","A","A",NA,"D","E","B","B",NA,"E","B","E","B"
"A","A","E","B","C","A","D","C",NA,"B","E","A",NA,"A","B","C","B","A","A","E","D","A","A","C","C","A","A","F","D",NA,"B","E","E","C","B","B","B"
"C","F","B","B","C","C","C","A","A","A",NA,"A",NA,"B",NA,"C","B","B",NA,NA,NA,"A","A","C","C","A","B","C","B",NA,"B","B","D","D","B","B","B"
"A","F","D","B","B","C",NA,"D","A","A","B","B","C","B",NA,"C","C","B","B",NA,"B","B","A","D","C",NA,"A","E","A",NA,"B",NA,"E","F","B","B","B"
"C","F","B","B","B","B","C","D","B","B","B","B","D","B","A",NA,"A","A","A",NA,"D","E","A","B","C","B","A","A","A","E","A","C",NA,"B","C","A","A"
"A","A","C","A","C","C","D","A",NA,"B","D","B","D","B",NA,"C","C","A","A",NA,NA,"B","A",NA,"C",NA,"B","E","C","C","B","A","A","D","B","B","B"
"B","F","D","A","C","C","D","C","B","A","B","C","A","B","A","B","B","A","A","E",NA,"A","A",NA,NA,NA,"B",NA,"A","E","A","E",NA,"A","B","C","B"
"B","F","D","B","B","B","D","C","B","A",NA,"C","E","B","C","C","A","B","A","B",NA,"B","A",NA,"C","A","B",NA,"A",NA,"A","C","B","D","B","A","A"
NA,"A","D","A","B","C",NA,"A","B","C",NA,"C","B","B",NA,"C","C","A","A",NA,NA,"D","A","D",NA,NA,"A","F","C","B","A",NA,NA,"F","B","C","A"
"A","A","D","B","A","A","C","A",NA,"C",NA,"A","D","B","A","C","A","B",NA,"C",NA,"A","B",NA,"D","A","B",NA,"D","B","A",NA,NA,"B","B","B","A"
"A","C","B","C","A","C","C","E","A","B",NA,"A",NA,"B","B","B","B","A",NA,NA,NA,"B","A",NA,"C",NA,"B","E","D","F","A",NA,NA,"B","B","E","B"
NA,"A","E","C","A","A","B","D","A","C","D","A","E","B",NA,"B","B","B",NA,"C","D","F","A","D","A","A","A","C","C","D","A","D",NA,"D","C","C","A"
"B","F","D","B","C","A",NA,"E","A","A","B","B",NA,"B",NA,"C","B","A","B","B","D","F","A","B","A","A","A",NA,"A","F","A",NA,NA,"F","A","A","B"
"C","A","E","A","B","A","D","C",NA,"B","F","C",NA,"B","A","C","B","A",NA,NA,"B","A","A",NA,NA,NA,"B","B","C",NA,"A","B",NA,"C","B","F","B"
"A","F","D","B","A","C","D","D",NA,"C","D","C",NA,"A","A","B","A","B","B","B",NA,"F","A",NA,"C",NA,"B",NA,"D","E","B","C","E","F","B","B","A"
"B","F","D","B","C","A","A","C","B","C","D","C","C","A","B","B","A",NA,"A","C","D","C","A","D","D","A","A",NA,"C","C","B","C","A","E","B","C","A"
"C","A","B","C","A","B","C","A","B","B",NA,"A","E","A","A","B","B","B",NA,"B",NA,"C","A","B","C","A","A","F","A","D","B","C","B","C","C","C","B"
"A","F","B","A","B","B","E","C","A","B","E","A","C","B",NA,"C","B","B",NA,NA,"B","E","A","D",NA,"A","A","B","A",NA,"B","A","E","E","C","B","A"
"B","F","D","C","B","A","D","D","A","C",NA,"A",NA,"B",NA,NA,"A","B",NA,NA,NA,"B","A",NA,NA,"B","B","A","C","E","B","D","E","D","B","B","B"
"A","A","D","B","B","C","D","E","A","B","B","B","A","B","A","B","C","A","A",NA,"D","B","A",NA,"C",NA,"A","F","C","C","B","E","E","D","B","E","A"
"A","D","D","C","C","B","C","A","B","C",NA,"C","C","B","A","C","A","A","B","E",NA,"B","A","A","A","A","B",NA,"C","D","A","C",NA,"B","A","C","A"
NA,"C","D","A","B","B","E","A","B","A","D","B","C","B","B",NA,"B",NA,"B",NA,"B","D","A","A",NA,"B","A",NA,"B",NA,"B","B","B","C","C","D","A"
"B","F","D","C","C","A","C","C",NA,"C","E","B","C","B","A","C","A","B","A","D",NA,"B","A","D","A","B","A",NA,"D","D","B","B","E","F","A","E","A"
NA,"A","E","B","B","B","E","D",NA,"B","D","C",NA,"B",NA,"C","B","A","B","C",NA,"D","A","D","C","A","A","B","D",NA,"A","B",NA,"E","C","D","B"
"A","F","D","A","C","B","E","C",NA,"B",NA,"A",NA,"A","A","B","B","B",NA,"E","B","F","A",NA,"D",NA,"B",NA,"D","E","B","B","E","F","A","C","B"
"B","F","D","A","C","C",NA,"C","B","B","F","C","F","B",NA,"C","C","B","A","B","D","F","A","D",NA,"B","A",NA,"D","D","A",NA,NA,"F","B","C","B"
"B","F","E","A","B","C","A","D",NA,"A","A","C","C","B",NA,"B","C","B","A",NA,"B","B","A","D",NA,NA,"A","F","D","D","A",NA,NA,"B","A","E","B"
"B","F","D","B","C","B","E","D",NA,"C","B","C",NA,"B",NA,"A","A","B","A",NA,NA,"B","A","D","C","A","B",NA,"D","E","A",NA,"E","E","A","F","B"
"B","A","D","A","C","C","C","E","D","C",NA,"A","C","B","B","C","B","B","A",NA,NA,"C","A",NA,"D","A","B",NA,"A","C","A",NA,"B","E","B","A","A"
"B","A","E","A","C","C","C","D","A","C","D","B","F","B","A","C","A","B","A",NA,"B","B","A","D",NA,NA,"A","B","B","B","A","B",NA,"E","A","A","B"
"C","F","B","A","C","C","B","D","B","A","E","A","B","B",NA,"C","B","B","A",NA,NA,"B","B",NA,NA,"A","A","E","A",NA,"A","B","E","A","C","D","B"
"B","C","D","B","C","C","C","A",NA,"A","D","A","C","B","A","C","B",NA,"A","E","B","D","A","D","D",NA,"A",NA,"C","C","A",NA,NA,"C","A","C","B"
"B","F","D","A","C","B","C","A",NA,"A","D","C",NA,"B","A","C","C","A","A",NA,"D","D","A",NA,NA,"A","B","C","D","E","A",NA,NA,"A","C","D","B"
"B","A","B","A","C","A","E","A","A","A","B","B","A","B","A",NA,"A","A","B",NA,"B","A","A","D","C","A","A","F","C","E","B","D","B","B","B","D","A"
"B","F","D","A","B","B","D","D","D","A","B","A","C","B",NA,NA,"A","A",NA,NA,"D","A","A",NA,"C","B","A",NA,"A","E","A",NA,"E","F","C","F","B"
NA,"A","D","C","C","B","C","A","D","A","A","C",NA,"B",NA,NA,"C",NA,"A","E",NA,"D","B",NA,"B","A","B","E","D","D","A","B","A","F","B","B","A"
"A","F","D","B","A","C","E","B","A","A",NA,"C","C","B","B","C","B","B","B",NA,"D","C","A","B","A",NA,"A",NA,"A",NA,"A",NA,"E","A","A","B","B"
"A","A","D","B","C","B","A","A","A","C","E","A","C","B",NA,"B","A","A",NA,"E","D","C","A","D","A","A","A","B","B","D","B","B","E","E","B","D","B"
"C","D","D","A","C","C","A","E","E","A","A","C",NA,"A","A","B","B","B","A","C",NA,"A","A","A",NA,NA,"B",NA,"C",NA,"B","B","E","B","B","C","B"
NA,"A","D","A","C","B","C","D","E","A","B","C","C","B",NA,"B","B","B","A",NA,"D","F","A","A",NA,"B","A","A","A",NA,"A","E",NA,"C","C","F","B"
"B","A","B","A","B","B","C","B","F","A",NA,"C",NA,"B",NA,NA,"C","A","A",NA,"D","F","A",NA,"D","A","A","F","D","E","A",NA,"A","B","B","C","B"
"A","F","D","C","C","B","E","E","A","B",NA,"A","E","B",NA,"C","A","B","B",NA,NA,"C","A",NA,"B",NA,"B",NA,"A","E","A",NA,NA,"A","A","B","B"
NA,"F","E","A","C","B",NA,"B",NA,"B","A","B","A","A","A",NA,"A",NA,"A","C","D","D","A","B",NA,"A","A","B","B",NA,"B","E","E","F","B","B","A"
"A","F","B","C","C","B","A","D","E","C",NA,"A","C","B",NA,"B","A",NA,NA,NA,"B","B","A","C","A",NA,"A","A","D","E","B","E","A","D","B","E","B"
"A","F","B","B","C","C","A","B","D","A",NA,"A",NA,"B",NA,"C","B","A",NA,"C","B","B","A","C","C",NA,"A","B","B",NA,"A",NA,NA,"F","C","D","B"
"B","A","D","B","C","C","C","E","B","B","A","B","C","B",NA,"C","C","B","A",NA,"B","F","A","D","C","B","A",NA,"C",NA,"B","B","E","B","B","C","B"
"B","F","D","B","C","C",NA,"A","A","B",NA,"A","C","B",NA,"C","A","B",NA,NA,NA,"F","A","D","B","A","B","B","C","C","A","B","E","E","B","A","B"
"B","A","E","B","B","B","D","C",NA,"B","B","C","A","B",NA,"C","C","A","A","B","D","F","A","D",NA,"B","A","B","D","E","A",NA,"A","D","B","B","A"
"B","A","D","C","C","B","A","E",NA,"B",NA,"A","A","B",NA,"C","B","A","A",NA,NA,"A","A",NA,"A","A","B","F","A",NA,"B","B","D","D","B","D","B"
"B","F","D","B","B","A","C","D","F","A",NA,"A","B","B",NA,NA,"C",NA,NA,"B","B","D","A","D","C","A","A",NA,"A","F","B","C",NA,"E","B","C","B"
"B","F","B","C","C","C","C","C",NA,"B","A","C","E","B",NA,"C","C","A","A","E","B","A","A","B","A","B","A",NA,"C","B","A","B","B","D","C","B","B"
"A","A","D","B","C","B",NA,"C","A","A","A","B",NA,"B","A","B","B","A","A","C","B","E","A",NA,"C","A","B","E","C",NA,"A",NA,NA,"F","B","C","A"
"A","F","D","B","B","C",NA,"A","B","B","A","B",NA,"A",NA,"C","C","B","A","C","B","A","A","D",NA,NA,"A","B","C","E","B","B",NA,"B","B","D","B"
"A","F","E","B","C","C","C","D","B","C","A","C","C","A","A","C","B","A",NA,NA,"B","B","A","D","C",NA,"A","A","A","F","A",NA,NA,"B","B","A","A"
NA,"F","D","A","C","A","A","B","D","A","D","A","F","A","A","C","B","A","A","E","B","A","A","D","D","A","A",NA,"B","D","B","D","B","F","A","B","B"
