"WYwfp","vhQvJ","tLOHX","RgmKY","FAIJt","uEpzT","QGdLi","Yeylk","QCQtq","EfFHC","INUSU","HKwVn","hBMen","bjoNn","eVSpV","SYltm","Psrrk","aiiZa","wgriv","RcBhT","hgaQp","UtoEB","LmjIf","EaQAS","hkpyF","IOHMH","OMcWd","AJvLt","Lctit","xISFX","LmZyP","kJviW","kgMLV","HtoiS","osOKb","WtGYX","LzfyG","OeKSO","cFJIc","RqRVT","DYMQB","zgjGa","iAdij","cEpaJ","UIirr","gFyTi","pvPbb","PDaYY","UPHgP"
"C","D","B","C","B","A","A",NA,"A","B","A","C","C",NA,NA,"A","D","E","C","B","B","A","A","A","C","D","A","B","D",NA,"F","D","D","C",NA,"D","A","F","E","B","D","A","A","E","D","B","B","B","C"
"B","A","A","B","C","C","D","A","A",NA,NA,"B","B","A","D","B","B","E","B","B","D","B","C","A","B","E",NA,"A","D","B","C","D","B",NA,"D","E",NA,"F","E",NA,"A","A","C","D","D","B","B","B","A"
"B",NA,"A","A","B","A","D",NA,"C",NA,"B","B","A",NA,"D","A","C","E","E","C","A","A","D","A",NA,"F","D","C","B","B","B","F","A","A","F","B","C",NA,"B",NA,"E","A","C","F","D","B","B","E","A"
"A",NA,"A",NA,"B","C","D","D","B","B","C","A","A","A",NA,"A","C","A",NA,"C","C","B","B","A","E","C","C","C","D",NA,"F","A","C","C",NA,"F",NA,NA,"A",NA,"B","B","C","E","D","A","C",NA,"C"
"B","A","A","C","B","A","A","D","A",NA,"A","B","A","D","A","A","D","E",NA,"A","C","A","B","A","F","A","B","C","B",NA,"F","E","B","B","F","A","C",NA,"B",NA,NA,"D","A","E","D","A","D","F","A"
"C","D","A","C","A","A","A",NA,"A","B","A","B",NA,"B","B","B","C","A","A","B","D","A","C","A",NA,"F","B","B","C",NA,"F","A","A","A","D","A","D","F","D","D","A","E","E","E","D","B",NA,"A","A"
"B","D","A","B","C","A","E","E","A","A","A",NA,"A","B","A","A","D","A","F","B","A","B","D","A",NA,"D","C","A","A","D","D","C","C","C","E","A","A",NA,"B","A","A","B","A","E","E","B","A",NA,"C"
"C","D","A","C","B","C","D","F","B",NA,NA,NA,"B",NA,NA,"B","D","B",NA,"D","C","A","A","A","D","A",NA,"C","A","D","C","D","A",NA,"E",NA,NA,"F","B","C","A","A","A","D","D","B",NA,"B","A"
NA,NA,"A","D","B","A","D","C","A","A",NA,"A",NA,NA,"C","A","A","A",NA,"D","C","A",NA,"B",NA,"E","C",NA,"B",NA,"E","C","B",NA,NA,"A",NA,"E","B","D","B","B","C","D","D","B","C",NA,"A"
"B",NA,"A","D","B","C","A",NA,"D",NA,NA,"C","A","B",NA,"B","A","B","C","B","D","A","A","B","E","C","C",NA,"A","D","C","E","A",NA,"A","E","A","F","B","C",NA,"E","C","D","D","B",NA,"D","A"
"B",NA,"A","C","B","B","D",NA,"B",NA,"A","C","B","F","E","A","C","A",NA,"C","C","A","D","A",NA,"E",NA,"C","B","B","F","B","B","A",NA,"A","C",NA,"A","C","B","E","F","D","D","A",NA,"E","A"
NA,"D","A",NA,"A","C","A","B","A","A","C",NA,NA,NA,"B","A","C","E","F","D","F","B",NA,"B","D","E","D","C","D",NA,"E","A","C","E","B",NA,"B","F","A","A",NA,"A","A","B","D","A",NA,"F","C"
"B",NA,"A","B","C","A","A","E","A","C","B","A","C","A","A","A","A","C","D","B","F","A","C","B","C","F",NA,NA,"B","A","A","B","C","C","B","B","D","C","C","A","E","E","E","B","D","A","D","B",NA
"C",NA,"A","B","B","C","A","E","D",NA,NA,"C","B","D",NA,"A","D","B","F","D","F","B","A","A","C","F","F","C","D",NA,"F","A","C","C","F",NA,"C","D","A","A","E","A","A","C","E","A","A","A",NA
"B","A","A","B","C","A","A",NA,"A","B","B",NA,"A","A","C","B","D","A",NA,"B","C","A","A","A",NA,"A",NA,NA,"C","C","B","F","D",NA,NA,NA,NA,"F","D","D","A","E","C","B","E","B","B","B",NA
"B","A","A","C","C","A","D",NA,"B",NA,"A","C","A","E","C","B","A","B","C","C","C","A","C","B","B","C",NA,NA,"B","A","F","F","D","C",NA,NA,NA,"A","A",NA,"A","D","C","E","D","A","D","E","A"
"B",NA,"A",NA,"B","B","E",NA,"A","B",NA,"C",NA,"D","B","A","C","A",NA,"B","B","A","B","A","E","D","C","B","D","A","A","C","C",NA,NA,"A","A","F","E",NA,NA,"D","C","D","D","A","D","F","A"
"B",NA,"B","C","B","A","A","D","A","B","C","B","A","B",NA,"A","D","D","A","C","A","A","A","A",NA,"C","C","C","C","C","D","A","B",NA,"F","C","D","C","B",NA,"A","D","A","A","D","B","A","A","C"
"A","A","A","D","C","A","A","F","A","B","A","C","A","A","C","B","D","B","D","C","C","B","C","B",NA,"E","D","B","B","A","A","A","D","C","A",NA,"B",NA,"B",NA,"B","A","C","D","D","A","C","B","C"
"A","C","A",NA,"C","A","D","C","A",NA,"A",NA,NA,"E","B","A","D","B","B","D","D","B","B","B",NA,"D","B","C","D","A","B","A","C","B","E","E",NA,NA,"E","A",NA,"A","B","C","D","A","D",NA,"A"
NA,"D","A","C","A","B","A","A","A",NA,"A",NA,"B","C","E","A","B","E","D","D","E","B",NA,"A","B","E",NA,"B","C","D","D","B","C","A","B","F","A","F","A","A",NA,"D","A","E","A","B","D","C","A"
"A",NA,"A","B","B","A","D","E","B","B",NA,"A","A","B",NA,"A","D","B","F","C","A","B","D","A",NA,"B","C","B","C","B","A","F","C","E","B","B","B","F","B",NA,"A","D","A","A","D","B","D","E","A"
"C",NA,"B","C","A","C","D",NA,"A","C","B",NA,NA,NA,"E","A","C","A",NA,"A","C","A","B","A",NA,"A",NA,"B","D","D","B","B","A","C",NA,"C",NA,NA,"E","C","E","B","C","B","E","B","B",NA,"A"
"B","C","B",NA,"B","C","D","D","A","A","B","C","B","E","C","A","D","C","D","A","F","A","A","A",NA,"A","C","C","C","A","D","B","B","E",NA,NA,"C",NA,"B","C","F","D","C","C","D","A","A","F",NA
NA,"B","A","A","A","C","D","F","A","B","B","A","A",NA,"E","A","B","A",NA,"D","C","B",NA,"B","F","A","E","B","C","C","F","F","B","A","D","A",NA,"B","B","C","E","B","B","B","D","B","B","F","A"
NA,NA,"B",NA,"B","B","A",NA,"A","B","A","C","B","F",NA,"A","A","E",NA,"D","C","A","A","A","D","C","B",NA,"B","D","E","B","D","C",NA,NA,"A","E","E",NA,"A","A","C","D","D","A","C","E",NA
"B","A","A",NA,"A","C","A","A","B","C",NA,"C","C","E","D","A","C","A","F","B","A","A","D","B","C","E",NA,"B","C",NA,"D","F","C","A","B","E","C","F","B","A","A","D","E","D","D","A","C","E","C"
NA,NA,"A","D","B","A","A","D","A",NA,"C","B","C","C",NA,"A","A","E",NA,"A","C","A","A","B",NA,"E","F",NA,"B",NA,"C","F","A","C","C","C",NA,"F","A","C","C","E","D","B","D","B","D","A","C"
"B","C","A",NA,"B","C","D",NA,"A","C","C","C","B",NA,NA,"A","B","A",NA,"B","C","A","A","A","F","F",NA,NA,"A",NA,"C","A","B","C","F","A","C","F","E","C","A","D","C","A","C","B","B","C","C"
NA,"A","A","C","A","C","D","D","A",NA,NA,NA,"B","B","C","B","B","B",NA,"A","C","A","D","B","D","E",NA,"C","B",NA,"A","A","B",NA,"C",NA,"C","F","D","C","A","B","A","D","D","B",NA,"A",NA
"B","D","B","D","B","A","D","F","A","C","B","A","C",NA,"A","A","A","B",NA,"D","C","B",NA,"A","C","F",NA,NA,"C","A","D","F","B","C",NA,NA,"B","F","B","C","A","E","B","C","D","A","D","F","A"
NA,NA,"A","D","B","A","D","C","D",NA,"A","B","A",NA,"C","B","B","E",NA,"D","D","A","D","A",NA,"E","D","B","A","A","F","A","A","A","A",NA,"A",NA,"A","D","B","A","C","F","D","A",NA,"F","C"
NA,"B","A","B","A","B","D","C","A","C","C","A","A",NA,"E","A","B","B","B","B","C","B","A","A","E","A",NA,NA,"A",NA,"D","C","C",NA,"B","C",NA,"A","A","A","A","E","A","B","D","A","B","F","A"
"B","C","A","C","C","A","C","F","A","B","C",NA,"A","E","D","B","B","E","F","A","C","A","B","A",NA,"A","C",NA,"D","A","C","B","D",NA,NA,"D","D","E","B","A",NA,"B","C","B","D","A","B",NA,NA
NA,"B","A",NA,"A","A","A","D","A",NA,"C","C",NA,"A",NA,"A","C","B","B","A","C","B",NA,"A","D","A","B","A","D","B","E","E","A","C","D",NA,"A","F","D","C","A","E","E","A","D","A","C",NA,"C"
NA,"A","A","C","B","A","D","D","A",NA,NA,"B","C","B","E","A","D","E","B","C","D","B","A","B",NA,"D","F","C","D","B","B","A","D","C","D","A","D","F","D","A","D","A","E","D","D","A","D","A","C"
"B","C","B","B","B","A","D","B","A","A","A","B","A","F",NA,"A","D","A",NA,"A","F","A","A","A","C","D","E","B","D",NA,"F","D","C","A","F","B","C",NA,"E",NA,"A","B","A","A","D","B","A","A","C"
"B","A","A",NA,"A","A","A",NA,"A",NA,"B","B",NA,"E","B","A","B","A","E","D","F","A",NA,"A",NA,"C","B","B","C","D","D","C","C","C","B","D","A","F","C","A","E","E","F","B","D","B","A",NA,"A"
"B",NA,"A","C","B","B","D","D","B",NA,"C","B","B",NA,NA,"A","B","A",NA,"D","C","A","B","B","A","C",NA,"B","D","C","D","C","A","A","B","A",NA,NA,"D","D",NA,"E","E","A","E","B","B","C","A"
"A",NA,"A","C","B","C","A","F","A",NA,"A","B","A","D",NA,"A","A","E","C","D","A","A","D","A",NA,"F","C",NA,"C",NA,"A","D","A","C","E","D","D","F","A","C","A","E","A","E","D","B","B","E","A"
"C","B","A","D","C","B","A","F","B",NA,"C","C","B","D",NA,"A","B","A","B","D","C","A","D","A","E","F","F","B","A","D","B","D","D",NA,NA,"E","A","E","D","D","A","D","E","E","D","B","D","B","A"
"A","A","A","C","A","B","A","E","A","C",NA,"C","B",NA,"E","A","C","B","B","C","E","B","C","A","B","C","C",NA,"A",NA,"A","D","A","A","E","D","B","F","A","D","A","D","E","D","D","A","B","C","A"
NA,NA,"A","C","B","C","A",NA,"A",NA,"A","A","B","B","C","A","A","A","E","C","A","B","A","A","E","A","D",NA,"A","C","A","A","D","C",NA,"A","D","F","D",NA,"A","E","C","E","D","B","D",NA,"C"
"B","D","B",NA,"A","B","A","A","D","A",NA,"E","B",NA,NA,"A","C","B","A","D","C","B","A","B","D","E","C","C","D",NA,"D","B","B",NA,"D","D","C","C","A","D","A","E","B","D","D","B","B","F",NA
"C",NA,"A","D","B","A","A","B","A",NA,"A","A","C","E",NA,"B","C","B","D","B","E","A","D","A",NA,"A","B","C","C","D","A","F","D","C","B","D","A","E","A","A","A","D","A","E","D","B","D","F",NA
"C",NA,"A","D","B","C","A","F","A",NA,NA,"B","B","A","D","A","D","E","B","A","B","A",NA,"A","B","C",NA,"C","D",NA,"E","F","B","E","B","D",NA,"F","D","C","A","D","E","D","D","A","B","D","A"
"A","A","A",NA,"C","A","A","E","A",NA,"A","B","A",NA,"B","B","A","A",NA,"B","C","B","D","A",NA,"E","C","B","A","A","D","F","A","C","B","B",NA,"E","B","C","E","A","A","E","D","A","B","A","A"
"A","D","A","C","B","A","D","D","A","C","B","B",NA,NA,"A","A","B","A","B","A","F","B","B","A",NA,"B","C","C","B","D","C","E","B","E","E","B","B",NA,"B","A",NA,"E","A","D","D","B","B",NA,"C"
"B","B","A","D","B","B","A",NA,"A",NA,"B","B","B","E","C","A","A","E",NA,"B","C","B","D","A","F","B",NA,NA,"C","C","D","F","B","E",NA,"F","D","E","B",NA,"E","A","C","E","E","A","D","C","C"
"B",NA,"A","D","B","A","D","E","B","A","C","B","B","F",NA,"A","D","E",NA,"C","A","A","D","B",NA,"D","B","B","B","A","F","D","D","A",NA,"A",NA,NA,"B",NA,"A","B","C","A","D","A","A","A","A"
"A","D","A","A","B","C","D","E","A","B","C","C","B","D",NA,"A","C","A","A","C","A","B","C","B","F","D","B","C","A",NA,"F","F","D","E","C","A","C","A","B","D","A","A","A","D","D","A","D","D","A"
"C","C","A","C","A","B","A",NA,"A",NA,"B","C","B",NA,"E","A","C","A","F","D","E","A","A","B","F","B",NA,"B","D","A","B","D","D","E",NA,"D","D","E","E","D","B","B","C","B","E","A","B","B","C"
"B",NA,"A","B","B","C","D",NA,"B",NA,"A","C","A","B","B","A","D","C","D","A","E","A","B","A","C","D","B","C","B","A","F","A","B","C",NA,NA,NA,NA,"C",NA,NA,"D","C","A","D","A","D","C","C"
NA,"B","A","B","B","C","D",NA,"A",NA,"A","C","B","B",NA,"A","B","A",NA,"B","C","A","A","A","D","B",NA,"B","A","B","E","B","A",NA,"E",NA,"B",NA,"A","D","B","E","B","A","A","A",NA,"A",NA
"A",NA,"B","C","B","A","B","F","A",NA,"C","C","A","A","B","A","C","A",NA,"D","C","B",NA,"B","A","D","D",NA,"D",NA,"D","C","D","E","B","D","C","E","C","D","E","E","A","B","D","B","C","D","A"
"B","B","B","A","C","C","D",NA,"A","B","C","C","A",NA,"C","A","D","A","D","C","E","B","A","B","A","A","D","C","C",NA,"C","F","A",NA,"A","F",NA,"F","B",NA,"A","B","C","F","D","B","B","D","A"
NA,NA,"A","C","A","C","A","D","A",NA,NA,"C","A",NA,NA,"B","B","D",NA,"D","C","A",NA,"A","C","E","B","C","C","B","E","F","B","E","D","C","B","E","D","C","E","A","E","F","D","B","D","A","A"
"B","C","A","C","B","C","B","A","B",NA,NA,"C","B","B","B","A","B","B",NA,"D","C","B",NA,"A","E","E","D","B","A","D","D","C","A","E","B","A",NA,"E","A","C","D","E","A","D","D","B","D","A","A"
NA,"C","A","C","A","A","D",NA,"A",NA,NA,NA,"A","B",NA,"A","B","A","B","C","C","A","D","A",NA,"A","D","B","A",NA,"F","B","D","A","F","B","C","E","A","D","A","E","C","D","E","B","D","F",NA
"C","D","A","C","A","A","A","D","A",NA,"C","C","A","D",NA,"A","B","A","E","D","C","A",NA,"B",NA,"A","B","B","A","B","E","B","C",NA,"B",NA,"D","F","A","A","E","D","C","B","D","A","D","A",NA
"A",NA,"A","D","B","C","A","E","A",NA,"B","C","B","C","D","A","D","E","E","B","A","A","C","A","A","F","D","A","D","D","D","A","B","C","D","E","D",NA,"B",NA,"C","A","E","C","D","B","A","D","C"
"C",NA,"A",NA,"C","C","A",NA,"A",NA,"C","C","A","A",NA,"A","B","E","A","D","E","A","B","A","A","A","E","B","D","A","B","B","C",NA,NA,NA,NA,"E","D","A","A","E","C","B","D","A","C",NA,"A"
NA,"B","B","C","A","A","D","D","A","C","C","C","B",NA,"B","A","A","A","D","C","C","A","D","A",NA,"C","B",NA,"D","B","F","D","C","C","E","F","C","F","A","A","A","B","C","A","D","B","B","A","A"
"B",NA,"A",NA,"B","C","A","C","D",NA,"C","C",NA,"C",NA,"A","D","E",NA,"D","C","B","B","B","C","F","B",NA,"A","C","A","C","B","A",NA,"C","D","F","A","D",NA,"E","C","C","E","A","C","F",NA
"A","A","A","C","C","A","D","F","A",NA,"C","C","C","D","C","A","B","A","F","B","C","A","A","A",NA,"F","E","A","D",NA,"C","F","B",NA,"F",NA,NA,"E","A",NA,"B","D","D","F","E","A","D","A","A"
"B","A","A","B","C","A","D",NA,"D","A",NA,"A","A",NA,"A","B","B","E",NA,"C","C","A","A","A","A","B","D","B","A","C","D","B","D","C","E",NA,NA,NA,"B","C","E","E","C","E","D","B","B","B",NA
"C",NA,"A","B","A","A","D",NA,"A",NA,"A","A","A",NA,"D","A","A","E","C","A","C","B","B","A",NA,"E","C","A","C","C","C","A","A","E","D","E","B","F","D","C",NA,"A","C","E","D","B","B","B","C"
"C","A","B","A","C","A","A","D","A","B","C","C","C",NA,NA,"A","B","A","D","B","F","A","C","A","A","E","C","B","C","A","A","F","B",NA,"C","A","D",NA,"A","C","B","E","A","A","D","A","B","B","A"
"B","B","B","B","A","A","B","E","B","C",NA,"C","A","A","C","A","B","D","E","B","A","B","D","A",NA,"F",NA,"A","B",NA,"A","C","A","A","D",NA,"C","F","B",NA,"C","E","E","A","D","B","D","D","A"
NA,"C","A","D","B","B","D",NA,"A",NA,"C",NA,"B","B","C","B","A","A","F","A","B","A","A","A","A","C","E","C","B","C","E","B","A","C",NA,NA,NA,NA,"D","B","B","E","C","A","E","B","D","C","C"
"B","D","B","D","A","C","A","C","B","A",NA,"C","A","A",NA,"B","A","A","E","B","A","B","C","B","B","F","B",NA,"C",NA,"C","C","B",NA,"C","E","A","F","E","B","E","A","A","E","D","B","C","B","A"
"C","D","A",NA,"A","A","A","B","B","C","A","E",NA,"A","B","B","B","E","E","D","A","A","B","A",NA,"E",NA,"A","A","D","C","D","A",NA,NA,NA,"A","E","A","B","E","D","C","E","D","B","B",NA,"A"
"B",NA,"B","A","B","B","D",NA,"B","B","C","A","B","A",NA,"A","A","A","C","C","D","B","A","B","E","D","C","C","B",NA,"D","C","B","A",NA,"F","C",NA,"D","D","E","D","C","B","C","B","C","B","A"
"B",NA,"A","D","B","A","A","A","A",NA,NA,"C","C","B","E","A","D","A","A","D","A","A","D","A","F","A","E",NA,"D","B","D","B","C","A","A","A","A","F","D","A","B","D","C","C","D","A","A","E",NA
"C","C","A","B","C","B","A",NA,"D",NA,"C","A",NA,"B",NA,"A","B","E","A","D","F","A",NA,"A","A","A","C","B","A","C","E","C","C",NA,"A","D","D","E","B","A","C","B","C","B","D","B","D","E","A"
"B","C","A","C","A","A","D",NA,"A",NA,"A","A",NA,"E","D","A","C","E","D","B","F","A",NA,"A",NA,"F","B","C","C",NA,"C","B","A","A","A","C",NA,NA,"B","D","C","D","C","F","D","A","D","B",NA
"B","A","B","D","C","C","D","B","A","B","A","A",NA,NA,"E","A","B","E",NA,"D","C","B","B","B","E","B","C","B","C","C","B","F","D",NA,"D","D","C","F","E","D",NA,"D","E","F","E","B","B","B",NA
NA,"D","A","D","C","C","D","B","B","A","B","A","B","B","A","A","D","B","A","D","D","A","C","A","A","E","C","B","A","A","E","B","B",NA,NA,"F",NA,"A","E","C",NA,"E","C","F","D","A","C","A","A"
NA,"D","B","C","C","A","A","D","A",NA,"A","C","A","B",NA,"A","D","D","E","C","B","A","A","B",NA,"F","D","C","A","D","B","A","A","E",NA,NA,"D","C","D","C","E","E","C","E","D","A","A","E","C"
"C",NA,"A",NA,"B","A","D",NA,"A",NA,"B","C",NA,NA,"B","A","D","C","F","A","D","A","B","B",NA,"B","D","C","A","A","F","F","A","E","E","A",NA,"F","A","D",NA,"D","A","F","D","B","B",NA,"A"
"B",NA,"B","D","B","A","A","B","A",NA,"C","C","A","A",NA,"A","D","E","E","D","A","A",NA,"B","D","E",NA,NA,"D","C","F","B","D",NA,"E",NA,"C","C","B","D","A","E","F","C","D","B",NA,"B","A"
"A","D","A","C","B","A","D","D","B","C","B","A",NA,"F","C","B","D","E","D","C","F","B",NA,"B",NA,"D",NA,"B","A","D","A","B","B",NA,"E","A",NA,NA,"A","B","A","A","F","C","D","B","D","E","A"
"B","B","B","A","C","C","D","A","A","B",NA,"B","A","D","C","A","A","A","E","D","C","A","C","B",NA,"B","D",NA,"C","D","F","D","A","A","C",NA,"A",NA,"D","B","A","A","C","C","D","B",NA,"B","A"
"B","B","A","D","B","A","D","F","A","C","A","C","B","C","C","A","D","A","A","B","F","A","D","A",NA,"F",NA,"C","D",NA,"B","B","B","A","B",NA,"C",NA,"A",NA,NA,"D","F","B","D","B","C","D","A"
"C",NA,"A","B","C","A","A",NA,"A",NA,"A",NA,NA,"F","B","B","A","E","B","B","A","A","B","B",NA,"D","B",NA,"A",NA,"C","E","D","A","A","C","A","E","A","A","A","E","C","E","E","B","A","E","C"
"B","D","B","B","A","A","D","A","A","C","C","C",NA,"E",NA,"A","B","E",NA,"D","C","B","C","B","B","E",NA,"B","D","D","C","F","C","C","E","A",NA,NA,"B","A","C","A","A","E","D","B","C","B","C"
NA,"A","A","C","A","A","B","D","A",NA,"C","C","A","B","C","B","B","A","E","D","A","B","B","A",NA,"D","A","B","C","D","B","F","B",NA,"D",NA,"D","F","B","D",NA,"A","C","E","E","B","D",NA,"A"
"C","A","A",NA,"A","B","D","E","D","A","C","C","B","A","D","B","B","E","E","B","A","A","B","B","F","A","E","C","C","D","D","A","A",NA,"F","C","B",NA,"D","D",NA,"E","D","C","D","B","A",NA,"A"
"A","B","A",NA,"A","A","B","D","A","C","A","C","A","D","B","B","A","E","E","B","A","B","B","A",NA,"C",NA,"A","B","D","D","A","A","A","D","D","B",NA,"E","D",NA,"A","E","F","D","A",NA,"F","C"
"B",NA,"A","A","B","A","A",NA,"A","C","B","C","A",NA,"A","A","D","E","B","D","B","A","C","B",NA,"D",NA,"B","B",NA,"F","B","A",NA,NA,"C","D","F","E","C","E","B","C","E","D","B","B","F",NA
"B","B","A","C","A","C","D","D","A","C",NA,NA,"A","D",NA,"A","A","A","B","C","B","B","A","A","D","A",NA,NA,"B","D","C","B","B","A","F",NA,"A",NA,"D",NA,"A","A","F","D","D","B",NA,"C","A"
NA,"D","A",NA,"A","C","A","B","A","C","A","B","A",NA,"B","A","B","E","F","D","A","B","B","A","B","C",NA,"B","B","D","C","B","C","C","B","F",NA,"D","A","B","B","D","A","A","E","B","B","F",NA
